Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,83,-0.03948985,-0.1055424,6.093155,0.1126882,24.94461,2.81096
2,83,-0.02029641,0.02247022,6.56198,0.03027961,22.90711,0.69362
3,83,-0.03948986,-0.1055424,7.442082,0.1126882,23.91405,2.69483
4,83,-0.01487359,0.02561963,5.804718,0.02962413,22.82353,0.67613
5,83,-0.03948986,-0.1055424,8.521153,0.1126882,25.37639,2.85962
6,83,-0.01037856,0.01440495,3.259823,0.01775436,22.76576,0.40419
7,83,-0.03948985,-0.1055423,8.100428,0.1126882,30.48183,3.43494
8,83,0.001075024,0.002295712,4.026269,0.00253495,26.09447,0.06615
9,83,-0.03948986,-0.1055424,7.626042,0.1126882,28.80881,3.24641
10,83,0.0002308901,0.002601431,4.723195,0.002611657,21.73442,0.05676
11,83,-0.03948985,-0.1055423,5.791613,0.1126882,23.23075,2.61783
12,83,-0.0004004019,0.00210102,4.741429,0.002138833,22.05082,0.04716
13,83,-0.03948986,-0.1055423,3.340205,0.1126882,21.43418,2.41538
14,83,-0.001552316,0.002056682,4.871834,0.002576747,25.3313,0.06527
15,83,-0.06062336,-0.1028022,4.055426,0.1193461,27.47962,3.27958
16,83,-0.001723939,0.002851111,4.84487,0.003331786,26.68349,0.0889
17,83,-0.07332148,-0.1500915,5.786457,0.1670434,24.45873,4.08567
18,83,-0.002234989,0.003810867,3.693873,0.004417905,22.99716,0.1016
19,83,0.007509261,-0.1300018,8.185625,0.1302185,30.77004,4.00683
20,83,-0.00393585,0.004020831,2.57128,0.005626543,24.8829,0.14
21,83,-0.0563875,-0.1675499,6.965713,0.1767838,24.37963,4.30992
22,83,-0.004033595,0.003584653,2.205763,0.005396261,19.32771,0.1043
23,83,-0.04426818,-0.07490242,7.836473,0.087006,24.7552,2.15385
24,83,-0.004596309,0.00275095,2.390901,0.005356658,19.64113,0.10521
25,83,-0.0522547,-0.1520222,6.784513,0.1607523,27.38797,4.40268
26,83,-0.004187651,0.00222184,2.868396,0.004740568,21.05768,0.09983
27,83,-0.03879088,-0.06896859,4.226506,0.079129,27.42022,2.16973
28,83,-0.003680195,0.001680968,3.118711,0.004045922,23.71003,0.09593
29,83,-0.09687164,-0.2294133,2.691456,0.2490273,21.22289,5.28508
30,83,-0.003571214,0.001608689,3.234087,0.003916816,21.30175,0.08344
31,83,-0.06731721,-0.1143893,4.552257,0.1327272,22.33205,2.96407
32,83,-0.003019899,0.002783793,3.28652,0.004107225,23.05668,0.0947
33,83,-0.06583542,-0.09706002,5.703339,0.1172815,23.25213,2.72704
34,83,-0.004362161,0.00436948,3.126979,0.006174204,26.01743,0.16064
35,83,-0.0716536,-0.1085735,5.39329,0.1300863,28.41839,3.69684
36,83,-0.002699038,0.007310234,2.469594,0.007792581,19.79075,0.15422
37,83,-0.06684151,-0.1133292,3.515511,0.1315724,20.96508,2.75843
38,83,-0.06369432,0.07314573,9.446442,0.09699105,26.68243,2.58796
39,83,-0.0862856,-0.2291372,4.682914,0.244845,21.65304,5.30164
40,83,-0.06132333,0.07903984,12.77686,0.1000392,33.02658,3.30395
41,83,-0.02667986,-0.05595022,7.755645,0.06198583,25.89881,1.60536
42,83,-0.0782087,0.06344083,15.56169,0.1007042,32.77904,3.30099
43,83,-0.0613966,-0.1077012,8.027073,0.1239721,31.14028,3.86053
44,83,-0.05249669,0.07552993,14.93662,0.09198192,34.95219,3.21497
45,83,-0.08047687,-0.1500872,6.727066,0.1703018,25.33215,4.31411
46,83,-0.02695004,0.01001474,1.417449,0.02875064,19.47255,0.55985
47,83,-0.03138226,-0.1142765,7.600122,0.1185072,24.43402,2.89561
48,83,-0.05248561,0.05459353,8.732627,0.07573106,25.5267,1.93316
49,83,-0.02653247,-0.07874691,4.391144,0.08309662,21.21806,1.76315
50,83,-0.01077724,0.02409724,6.916385,0.02639746,24.53213,0.64759
51,83,-0.05697155,-0.123157,6.766044,0.135696,26.5226,3.59901
52,83,-0.01389478,0.03117084,7.095635,0.0341275,24.00188,0.81912
53,83,-0.06910016,-0.1636443,2.736359,0.1776353,25.7756,4.57866
54,83,-0.01242713,0.02306632,5.347489,0.02620093,28.69853,0.75193
55,83,-0.04819326,-0.0877155,5.167863,0.100083,22.68596,2.27048
56,83,-0.01466117,0.0213246,2.859883,0.02587834,20.17223,0.52202
57,83,-0.07383486,-0.1060393,5.966406,0.1292127,23.16615,2.99336
58,83,-0.008611955,0.02154919,6.332569,0.02320633,26.40104,0.61267
59,83,-0.06904259,-0.1005007,7.265868,0.1219314,24.91751,3.03823
60,83,-0.01209989,0.0228637,5.236726,0.02586805,22.45858,0.58096
61,83,-0.06886713,-0.1023406,7.353271,0.1233543,30.25109,3.7316
62,83,0.000211355,0.00155341,4.100367,0.001567722,24.43386,0.03831
63,83,-0.07280116,-0.1052752,5.064947,0.1279956,24.34549,3.11611
64,83,-0.0002305712,0.00197233,4.286393,0.001985761,22.40434,0.04449
65,83,-0.06362575,-0.1026601,7.369493,0.120778,24.17204,2.91945
66,83,-0.001204979,0.002197921,4.285199,0.002506557,20.66461,0.0518
67,83,-0.06792231,-0.1168807,3.201822,0.1351833,19.71164,2.66469
68,83,-0.001431107,0.00117758,4.271043,0.001853311,20.99421,0.03891
69,83,-0.05768347,-0.1690464,4.415163,0.1786171,21.26093,3.79757
70,83,-0.002309714,0.002386983,4.706345,0.003321516,21.71799,0.07214
71,83,-0.01725518,-0.1128924,7.660334,0.1142035,25.3217,2.89183
72,83,-0.002337772,0.002845699,4.730586,0.003682822,24.14186,0.08891
73,83,-0.05550635,-0.08723931,7.679178,0.1034004,24.91356,2.57607
74,83,-0.003001704,0.002955654,3.473834,0.004212614,20.42118,0.08603
75,83,-0.05441049,-0.1225715,8.069202,0.1341055,31.04725,4.16361
76,83,-0.003851398,0.002832969,2.527936,0.004781107,26.61822,0.12726
77,83,-0.07386857,-0.1344743,6.662998,0.1534272,24.16243,3.70717
78,83,-0.003629103,0.002475211,3.045597,0.004392841,20.49583,0.09003
79,83,-0.02746752,-0.1039484,4.511257,0.1075162,21.91251,2.35595
80,83,-0.00371151,0.001996142,2.723272,0.004214248,22.63507,0.09539
81,83,-0.05167511,-0.09912241,6.855029,0.1117836,24.36153,2.72322
82,83,-0.003637129,0.001740231,2.797286,0.004032011,20.03169,0.08077
83,83,-0.02787635,-0.1108579,7.623895,0.1143091,30.15921,3.44747
84,83,-0.003968873,0.001165711,3.235396,0.004136525,23.13244,0.09569
85,83,-0.04899629,-0.116034,2.949671,0.1259544,22.02423,2.77405
86,83,-0.004272262,0.001328846,3.170204,0.004474154,20.82456,0.09317
87,83,-0.06163705,-0.1208686,5.291506,0.1356774,22.08739,2.99676
88,83,-0.003507373,0.001869818,3.462275,0.003974655,19.85236,0.07891
89,83,-0.06599927,-0.1053151,6.093688,0.1242867,22.69187,2.8203
90,83,-0.005525188,0.001879847,3.250954,0.005836225,19.89258,0.1161
91,83,-0.05658289,-0.1071878,7.195765,0.1212058,23.90582,2.89752
92,83,-0.005844195,0.003497741,3.066589,0.006810933,19.90296,0.13556
93,83,-0.077073,-0.1141289,8.070662,0.1377159,25.09377,3.45581
94,83,-0.008097424,0.005037022,2.895537,0.00953624,20.17529,0.1924
95,83,-0.07443748,-0.1046605,8.077059,0.1284319,26.06074,3.34703
96,83,-0.007094217,0.008252456,2.810881,0.0108826,22.18676,0.24145
97,83,-0.05817032,-0.1037235,8.10891,0.1189216,25.05115,2.97912
98,83,-0.08115323,0.08051774,8.027116,0.1143195,25.16378,2.87671
99,83,-0.07094447,-0.1125036,7.315281,0.1330044,25.7075,3.41921
100,83,-0.07992635,0.08707836,12.43944,0.1181984,35.52077,4.1985
101,83,-0.06281719,-0.1067542,5.010427,0.1238647,28.94649,3.58545
102,83,-0.07023553,0.05693552,16.50139,0.09041395,33.95245,3.06977
103,83,-0.06565872,-0.09723736,8.05196,0.1173293,25.48147,2.98972
104,83,-0.07151947,0.06434012,15.96054,0.09620128,33.51439,3.22413
105,83,-0.06258167,-0.1126672,3.233794,0.1288812,22.85201,2.94519
106,83,-0.02988146,0.01824196,4.006942,0.03500958,21.46434,0.75146
107,83,-0.05377174,-0.1588318,4.037408,0.1676871,21.18355,3.55221
108,83,-0.04986271,0.03727753,9.952105,0.06225676,32.36911,2.0152
109,83,-0.06334765,-0.1005078,7.642152,0.1188055,27.62273,3.28173
110,83,-0.0228145,0.03258539,6.91633,0.03977825,25.62507,1.01932
111,83,-0.06057421,-0.1181967,7.964666,0.1328145,25.22436,3.35016
112,83,-0.01653665,0.01682568,7.073516,0.02359162,23.77016,0.56078
113,83,-0.05600153,-0.1313026,6.384102,0.1427464,22.77227,3.25066
114,83,-0.01866804,0.02073049,5.580837,0.02789711,22.01366,0.61412
