Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,11,-0.0393722,-0.1052279,6.083159,0.1123525,24.93462,2.80147
2,11,-0.01492836,0.01644333,6.551984,0.02220899,22.89712,0.50852
3,11,-0.0393722,-0.1052279,7.432087,0.1123525,23.90405,2.68568
4,11,-0.01087622,0.0187342,5.794721,0.02166247,22.81353,0.4942
5,11,-0.0393722,-0.1052279,8.511159,0.1123525,25.36639,2.84998
6,11,-0.007180011,0.009965509,3.251095,0.01228267,22.75703,0.27952
7,11,-0.03937219,-0.1052279,8.090431,0.1123525,30.47183,3.42359
8,11,0.0009440895,0.002016101,4.016271,0.0022262,26.08448,0.05807
9,11,-0.0393722,-0.1052279,7.616047,0.1123525,28.79881,3.23562
10,11,0.000206076,0.002291403,4.713196,0.002300651,21.72442,0.04998
11,11,-0.0393722,-0.1052279,5.781617,0.1123525,23.22076,2.60891
12,11,-0.0003320806,0.001850178,4.731429,0.001879744,22.04082,0.04143
13,11,-0.0393722,-0.1052279,3.330208,0.1123525,21.42418,2.40706
14,11,-0.001385775,0.001795604,4.861834,0.002268164,25.3213,0.05743
15,11,-0.06041402,-0.1024472,4.045429,0.118934,27.46962,3.26707
16,11,-0.001518907,0.002474071,4.834869,0.002903119,26.67349,0.07744
17,11,-0.07314504,-0.1497303,5.77646,0.1666414,24.44873,4.07417
18,11,-0.001997301,0.003345095,3.683875,0.003896007,22.98717,0.08956
19,11,0.007432297,-0.129603,8.175629,0.1298159,30.76004,3.99314
20,11,-0.003644704,0.003426367,2.561282,0.005002386,24.8729,0.12442
21,11,-0.05626547,-0.1670154,6.955714,0.1762383,24.36963,4.29486
22,11,-0.00370119,0.002966071,2.195764,0.004743035,19.31771,0.09162
23,11,-0.04404394,-0.0748077,7.826474,0.08681049,24.7452,2.14814
24,11,-0.004213513,0.002116353,2.380902,0.00471515,19.63113,0.09256
25,11,-0.05209119,-0.151427,6.774515,0.1601363,27.37798,4.38421
26,11,-0.003751024,0.001574934,2.858392,0.004068242,21.04768,0.08563
27,11,-0.0387324,-0.06891662,4.216508,0.07905504,27.41023,2.16692
28,11,-0.003235309,0.001055964,3.108713,0.003403276,23.70003,0.08066
29,11,-0.09659426,-0.2287564,2.681457,0.2483142,21.21289,5.26746
